,0
0,0.03198137
1,0.030747693
2,0.034749508
3,0.029892817
4,0.028821778
5,0.025656424
6,0.02047629
7,0.029914819
8,0.031651527
9,0.03285691
10,0.031165052
11,0.030697893
12,0.02901724
13,0.03154927
14,0.026548913
15,0.033854336
16,0.033364177
17,0.04097472
18,0.03873224
19,0.0383059
20,0.03820818
21,0.040107083
22,0.040831044
23,0.040052705
24,0.039542414
25,0.03789919
26,0.03598509
27,0.035090942
28,0.03598975
29,0.042846043
30,0.031131044
31,0.99013996
32,0.9907592
33,0.977194
34,0.95844525
35,0.9623984
36,0.9708737
37,0.03626036
38,0.03623318
39,0.0368929
40,0.034311503
41,0.03404458
42,0.040170617
43,0.03454494
44,0.038503367
45,0.034065753
46,0.035859697
47,0.03598295
48,0.03282135
49,0.03454312
50,0.029125262
51,0.023364227
52,0.030675944
53,0.036042716
54,0.03566452
55,0.033375688
56,0.030925531
57,0.030792926
58,0.03411723
59,0.03564241
60,0.041316886
61,0.039338533
62,0.033902265
63,0.031822756
64,0.03267346
65,0.030074853
66,0.03222038
67,0.026660305
68,0.029461429
69,0.031679787
70,0.02893079
71,0.032801148
72,0.02798171
73,0.031128898
74,0.029777247
75,0.029834792
76,0.026065227
77,0.022729447
78,0.024052855
79,0.027347978
80,0.026507555
81,0.019094283
82,0.028708376
83,0.026939355
84,0.023850463
85,0.027884534
86,0.024395574
87,0.022016333
88,0.02566729
89,0.025593761
90,0.025713487
91,0.028528472
92,0.033928152
93,0.03247703
94,0.032881536
95,0.026608728
96,0.033410184
97,0.032016084
98,0.028657636
99,0.027628724
100,0.023864843
101,0.021910464
102,0.030557137
103,0.028273456
104,0.028920144
105,0.03070468
106,0.02668142
107,0.028744867
108,0.029718
109,0.03333614
110,0.03194579
111,0.024892036
112,0.031203032
113,0.027444348
114,0.02475399
115,0.024309803
116,0.020891806
117,0.030974716
118,0.021053927
119,0.026722142
120,0.020540785
121,0.021803338
122,0.024581369
123,0.024037967
124,0.025345612
125,0.025155667
126,0.025819916
127,0.033541054
128,0.030871384
129,0.029673211
130,0.030441273
